Contract  date	time zone Strike Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
XSP210416P00190000	2021-01-28 12:14PM EST	190.00	0.35	0.00	0.00	+0.35	-	-	1	25.00%
XSP210416P00200000	2021-01-27 11:10AM EST	200.00	0.37	0.00	0.00	0.00	-	100	0	25.00%
XSP210416P00220000	2021-01-29 2:16PM EST	220.00	0.82	0.00	0.00	+0.82	-	4	0	25.00%
XSP210416P00250000	2021-01-27 9:35AM EST	250.00	0.91	0.00	0.00	0.00	-	1	1	12.50%
XSP210416P00260000	2021-01-29 11:20AM EST	260.00	1.66	0.00	0.00	+0.56	+50.91%	2	2	12.50%
XSP210416P00275000	2021-01-28 12:04PM EST	275.00	1.64	1.70	0.00	+1.64	-	-	1	12.50%
XSP210416P00276000	2021-01-29 12:49PM EST	276.00	3.00	2.50	0.00	+3.00	+56.25%	1	2	12.50%
XSP210416P00278000	2021-01-27 2:20PM EST	278.00	1.99	0.00	0.00	0.00	-	1	0	12.50%
XSP210416P00299000	2021-01-29 9:59AM EST	299.00	3.33	0.00	0.00	+3.33	-	1	0	12.50%
XSP210416P00300000	2021-01-29 3:56PM EST	300.00	3.85	0.00	0.00	+3.85	-	1	0	12.50%
XSP210416P00303000	2021-01-26 3:40PM EST	303.00	2.13	0.00	0.00	0.00	-	12	986	12.50%
XSP210416P00305000	2021-01-27 10:40AM EST	305.00	2.91	0.00	0.00	0.00	-	1	1	6.25%
XSP210416P00308000	2021-01-25 3:55PM EST	308.00	2.50	0.00	0.00	0.00	-	65	65	6.25%
XSP210416P00315000	2021-01-29 1:29PM EST	315.00	5.80	0.00	0.00	+5.80	-	1	0	6.25%
XSP210416P00325000	2021-01-27 12:01PM EST	325.00	5.46	0.00	0.00	0.00	-	1	37	6.25%
XSP210416P00330000	2021-01-19 12:11AM EST	330.00	5.11	0.00	0.00	0.00	-	-	10	6.25%
XSP210416P00335000	2021-01-26 9:53AM EST	335.00	4.50	0.00	0.00	0.00	-	15	37	6.25%
XSP210416P00338000	2021-01-20 10:08AM EST	338.00	5.18	0.00	0.00	0.00	-	-	12	3.13%
XSP210416P00340000	2021-01-29 12:24PM EST	340.00	9.85	0.00	0.00	+9.85	-	2	0	3.13%
XSP210416P00342000	2021-01-26 3:53PM EST	342.00	5.54	0.00	0.00	0.00	-	-	3	3.13%
XSP210416P00345000	2021-01-19 12:11AM EST	345.00	7.46	0.00	0.00	0.00	-	-	1	3.13%
XSP210416P00346000	2021-01-26 3:53PM EST	346.00	6.06	0.00	0.00	0.00	-	-	3	3.13%
XSP210416P00347000	2021-01-25 9:48AM EST	347.00	6.02	0.00	0.00	0.00	-	1	1	3.13%
XSP210416P00349000	2021-01-29 12:48PM EST	349.00	12.80	0.00	0.00	+4.56	+55.34%	5	15,330	3.13%
XSP210416P00350000	2021-01-27 12:39PM EST	350.00	9.00	0.00	16.00	0.00	-	32	32	38.56%
XSP210416P00351000	2021-01-21 3:19PM EST	351.00	6.32	0.00	0.00	0.00	-	1	1	3.13%
XSP210416P00358000	2021-01-19 12:11AM EST	358.00	9.95	0.00	0.00	0.00	-	-	27	1.56%
XSP210416P00359000	2021-01-29 12:46PM EST	359.00	15.22	0.00	0.00	+6.79	+80.55%	3	1,558	1.56%
XSP210416P00360000	2021-01-29 4:04PM EST	360.00	14.82	0.00	18.00	+6.82	+85.25%	4	63	34.99%
XSP210416P00363000	2021-01-21 2:46PM EST	363.00	8.34	0.00	0.00	0.00	-	973	973	1.56%
XSP210416P00364000	2021-01-25 2:29PM EST	364.00	9.52	0.00	0.00	0.00	-	1	1	0.78%
XSP210416P00365000	2021-01-21 12:15PM EST	365.00	9.20	0.00	0.00	0.00	-	7	7	0.78%
XSP210416P00374000	2021-01-28 9:35AM EST	374.00	15.69	0.00	0.00	0.00	-	1	0	0.00%
XSP210416P00375000	2021-01-25 11:05AM EST	375.00	14.06	0.00	0.00	0.00	-	1	137	0.00%
XSP210416P00376000	2021-01-28 9:35AM EST	376.00	16.36	0.00	0.00	0.00	-	1	1	0.00%
XSP210416P00378000	2021-01-27 12:09PM EST	378.00	16.77	0.00	0.00	0.00	-	3	3	0.00%
XSP210416P00379000	2021-01-29 10:11AM EST	379.00	18.01	0.00	0.00	+18.01	-	2	0	0.00%
XSP210416P00380000	2021-01-28 1:29PM EST	380.00	16.03	0.00	0.00	0.00	-	1	16	0.00%
XSP210416P00381000	2021-01-25 11:33AM EST	381.00	15.09	0.00	0.00	0.00	-	3	3	0.00%
XSP210416P00385000	2021-01-27 11:17AM EST	385.00	18.66	0.00	0.00	0.00	-	26	26	0.00%
XSP210416P00391000	2021-01-27 11:17AM EST	391.00	21.46	0.00	0.00	0.00	-	26	26	0.00%
